Iteration; Energy; Damage
493;53.650.703; 0.000000
494;53.550.705; 0.000000
495;53.450.706; 0.000000
496;53.350.708; 0.000000
497;53.250.710; 0.000000
498;53.150.711; 0.000000
499;53.050.713; 0.000000
500;52.950.714; 0.000000
501;52.850.716; 0.000000
502;52.750.717; 0.000000
503;52.650.719; 0.000000
504;52.550.720;5.000.000
505;52.450.722;10.000.000
506;52.350.723;10.000.000
507;52.250.725;15.000.000
508;52.150.726;20.000.000
509;52.050.728;20.000.000
510;51.950.729;20.000.000
511;51.850.731;20.000.000
512;51.750.732;20.000.000
513;51.650.734;20.000.000
514;51.550.735;20.000.000
515;51.450.737;20.000.000
516;51.350.739;20.000.000
517;51.250.740;20.000.000
518;51.150.742;20.000.000
519;51.050.743;20.000.000
520;50.950.745;20.000.000
521;50.850.746;20.000.000
522;50.750.748;20.000.000
523;50.650.749;20.000.000
524;50.550.751;20.000.000
525;50.450.752;20.000.000
526;50.350.754;20.000.000
527;50.250.755;20.000.000
528;50.150.757;20.000.000
529;50.050.758;20.000.000
530;49.950.760;20.000.000
531;49.850.761;20.000.000
532;49.750.763;20.000.000
533;49.650.764;20.000.000
534;49.550.766;20.000.000
535;49.450.768;20.000.000
536;49.350.769;20.000.000
537;49.250.771;20.000.000
538;49.150.772;20.000.000
539;49.050.774;20.000.000
540;48.950.775;20.000.000
541;48.850.777;20.000.000
542;48.750.778;20.000.000
543;48.650.780;20.000.000
544;48.550.781;20.000.000
545;48.450.783;20.000.000
546;48.350.784;20.000.000
547;48.250.786;20.000.000
548;48.150.787;20.000.000
549;48.050.789;20.000.000
550;47.950.790;20.000.000
551;47.850.792;20.000.000
552;47.750.793;20.000.000
553;47.650.795;20.000.000
554;47.550.797;20.000.000
555;47.450.798;20.000.000
556;47.350.800;20.000.000
557;47.250.801;20.000.000
558;47.150.803;20.000.000
559;47.050.804;20.000.000
560;46.950.806;20.000.000
561;46.850.807;20.000.000
562;46.750.809;20.000.000
563;46.650.810;20.000.000
564;46.550.812;20.000.000
565;46.450.813;20.000.000
566;46.350.815;20.000.000
567;46.250.816;20.000.000
568;46.150.818;20.000.000
569;46.050.819;20.000.000
570;45.950.821;20.000.000
571;45.850.822;20.000.000
572;45.750.824;20.000.000
573;45.650.826;20.000.000
574;45.550.827;20.000.000
575;45.450.829;20.000.000
576;45.350.830;20.000.000
577;45.250.832;20.000.000
578;45.150.833;20.000.000
579;45.050.835;20.000.000
580;44.950.836;20.000.000
581;44.850.838;20.000.000
582;44.750.839;20.000.000
583;44.650.841;20.000.000
584;44.550.842;20.000.000
585;44.450.844;20.000.000
586;44.350.845;20.000.000
587;44.250.847;20.000.000
588;44.150.848;20.000.000
589;44.050.850;20.000.000
590;43.950.851;20.000.000
591;43.850.853;20.000.000
592;43.750.854;20.000.000
593;43.650.856;20.000.000
594;43.550.858;20.000.000
595;43.450.859;20.000.000
596;43.350.861;20.000.000
597;43.250.862;20.000.000
598;43.150.864;20.000.000
599;43.050.865;20.000.000
600;42.950.867;20.000.000
601;42.850.868;20.000.000
602;42.750.870;20.000.000
603;42.650.871;20.000.000
604;42.550.873;20.000.000
605;42.450.874;20.000.000
606;42.350.876;20.000.000
607;42.250.877;20.000.000
608;42.150.879;20.000.000
